Genome	Species	Type	phr.file	pin.file	psq.file
Wan Dou No.28	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_blastdb/Protein/Wan_Dou_No.28.phr' target='_blank'>Wan Dou No.28.phr</a>	<a href='SoybeanGDB_blastdb/Protein/Wan_Dou_No.28.pin' target='_blank'>Wan Dou No.28.pin</a>	<a href='SoybeanGDB_blastdb/Protein/Wan_Dou_No.28.psq' target='_blank'>Wan Dou No.28.psq</a>
Williams 82	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_blastdb/Protein/Williams_82.phr' target='_blank'>Williams 82.phr</a>	<a href='SoybeanGDB_blastdb/Protein/Williams_82.pin' target='_blank'>Williams 82.pin</a>	<a href='SoybeanGDB_blastdb/Protein/Williams_82.psq' target='_blank'>Williams 82.psq</a>
Xu Dou No.1	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_blastdb/Protein/Xu_Dou_No.1.phr' target='_blank'>Xu Dou No.1.phr</a>	<a href='SoybeanGDB_blastdb/Protein/Xu_Dou_No.1.pin' target='_blank'>Xu Dou No.1.pin</a>	<a href='SoybeanGDB_blastdb/Protein/Xu_Dou_No.1.psq' target='_blank'>Xu Dou No.1.psq</a>
Yu Dou No.22	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_blastdb/Protein/Yu_Dou_No.22.phr' target='_blank'>Yu Dou No.22.phr</a>	<a href='SoybeanGDB_blastdb/Protein/Yu_Dou_No.22.pin' target='_blank'>Yu Dou No.22.pin</a>	<a href='SoybeanGDB_blastdb/Protein/Yu_Dou_No.22.psq' target='_blank'>Yu Dou No.22.psq</a>
Tianlong1	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_blastdb/Protein/Tianlong1.phr' target='_blank'>Tianlong1.phr</a>	<a href='SoybeanGDB_blastdb/Protein/Tianlong1.pin' target='_blank'>Tianlong1.pin</a>	<a href='SoybeanGDB_blastdb/Protein/Tianlong1.psq' target='_blank'>Tianlong1.psq</a>
Zhonghuang 13	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_blastdb/Protein/Zhonghuang_13.phr' target='_blank'>Zhonghuang 13.phr</a>	<a href='SoybeanGDB_blastdb/Protein/Zhonghuang_13.pin' target='_blank'>Zhonghuang 13.pin</a>	<a href='SoybeanGDB_blastdb/Protein/Zhonghuang_13.psq' target='_blank'>Zhonghuang 13.psq</a>
Glycine cyrtoloba	Glycine cyrtoloba	Perennial Glycine	<a href='SoybeanGDB_blastdb/Protein/Glycine_cyrtoloba.phr' target='_blank'>Glycine cyrtoloba.phr</a>	<a href='SoybeanGDB_blastdb/Protein/Glycine_cyrtoloba.pin' target='_blank'>Glycine cyrtoloba.pin</a>	<a href='SoybeanGDB_blastdb/Protein/Glycine_cyrtoloba.psq' target='_blank'>Glycine cyrtoloba.psq</a>
Glycine dolichocarpa	Glycine dolichocarpa	Perennial Glycine	<a href='SoybeanGDB_blastdb/Protein/Glycine_dolichocarpa.phr' target='_blank'>Glycine dolichocarpa.phr</a>	<a href='SoybeanGDB_blastdb/Protein/Glycine_dolichocarpa.pin' target='_blank'>Glycine dolichocarpa.pin</a>	<a href='SoybeanGDB_blastdb/Protein/Glycine_dolichocarpa.psq' target='_blank'>Glycine dolichocarpa.psq</a>
Glycine falcata	Glycine falcata	Perennial Glycine	<a href='SoybeanGDB_blastdb/Protein/Glycine_falcata.phr' target='_blank'>Glycine falcata.phr</a>	<a href='SoybeanGDB_blastdb/Protein/Glycine_falcata.pin' target='_blank'>Glycine falcata.pin</a>	<a href='SoybeanGDB_blastdb/Protein/Glycine_falcata.psq' target='_blank'>Glycine falcata.psq</a>
Glycine stenophita	Glycine stenophita	Perennial Glycine	<a href='SoybeanGDB_blastdb/Protein/Glycine_stenophita.phr' target='_blank'>Glycine stenophita.phr</a>	<a href='SoybeanGDB_blastdb/Protein/Glycine_stenophita.pin' target='_blank'>Glycine stenophita.pin</a>	<a href='SoybeanGDB_blastdb/Protein/Glycine_stenophita.psq' target='_blank'>Glycine stenophita.psq</a>
Glycine syndetika	Glycine syndetika	Perennial Glycine	<a href='SoybeanGDB_blastdb/Protein/Glycine_syndetika.phr' target='_blank'>Glycine syndetika.phr</a>	<a href='SoybeanGDB_blastdb/Protein/Glycine_syndetika.pin' target='_blank'>Glycine syndetika.pin</a>	<a href='SoybeanGDB_blastdb/Protein/Glycine_syndetika.psq' target='_blank'>Glycine syndetika.psq</a>
Glycine tomentella D3	Glycine tomentella D3	Perennial Glycine	<a href='SoybeanGDB_blastdb/Protein/Glycine_tomentella_D3.phr' target='_blank'>Glycine tomentella D3.phr</a>	<a href='SoybeanGDB_blastdb/Protein/Glycine_tomentella_D3.pin' target='_blank'>Glycine tomentella D3.pin</a>	<a href='SoybeanGDB_blastdb/Protein/Glycine_tomentella_D3.psq' target='_blank'>Glycine tomentella D3.psq</a>
