Cultivar	Wild
s568	Landrace	
s569	Landrace	
s570	Landrace	
s571	Landrace	
s572	Landrace	
s573	Landrace	
s574	Landrace	
s575	Landrace	
s576	Landrace	
s577	Landrace	
s578	Landrace	
s579	Landrace	
s580	Landrace	
s581	Landrace	
s582	Landrace	
s583	Landrace	
s584	Landrace	
s585	Landrace	
s586	Landrace	
s587	Landrace	
s588	Landrace	
s589	Improved cultivar	
s590	Improved cultivar	
s591	Improved cultivar	
s592	Improved cultivar	
s593	Improved cultivar	
s594	Improved cultivar	
s595	Improved cultivar	
s596	Improved cultivar	
s597	Improved cultivar	
s598	Improved cultivar	
s599	Improved cultivar	
s600	Improved cultivar	
s601	Improved cultivar	
s602	Improved cultivar	
s603	Improved cultivar	
s604	Improved cultivar	
s605	Improved cultivar	
s606	Improved cultivar	
s607	Improved cultivar	
s608	Improved cultivar	
s609	Improved cultivar	
s610	Improved cultivar	
s611	Improved cultivar	
s612	Improved cultivar	
s613	Improved cultivar	
s614	Improved cultivar	
s615	Improved cultivar	
s616	Improved cultivar	
s617	Improved cultivar	
s618	Improved cultivar	
s619	Improved cultivar	
s620	Improved cultivar	
s621	Improved cultivar	
s622	Improved cultivar	
s623	Improved cultivar	
s624	Improved cultivar	
s625	Improved cultivar	
s626	Improved cultivar	
s627	Improved cultivar	
s628	Improved cultivar	
s629	Improved cultivar	
s630	Improved cultivar	
s631	Improved cultivar	
s632	Improved cultivar	
s633	Improved cultivar	
s634	Improved cultivar	
s635	Improved cultivar	
s636	Improved cultivar	
s637	Improved cultivar	
s638	Improved cultivar	
s639	Improved cultivar	
s640	Improved cultivar	
s641	Improved cultivar	
s642	Improved cultivar	
s643	Improved cultivar	
s644	Improved cultivar	
s645	Improved cultivar	
s646	Improved cultivar	
s647	Improved cultivar	
s648	Improved cultivar	
s649	Improved cultivar	
s650	Improved cultivar	
s651	Improved cultivar	
s652	Improved cultivar	
s653	Improved cultivar	
s654	Improved cultivar	
s655	Improved cultivar	
s656	Improved cultivar	
s657	Improved cultivar	
s658	Improved cultivar	
