Gene_ID	Trifoliate	Leaves	Roots
Glysoja.01G000756	0.885424	0.925358	1.382881
Glysoja.01G000757	0	0	0
Glysoja.01G000758	0	0	0
Glysoja.01G000759	0	0	0
Glysoja.01G000760	0.112188	0	0
Glysoja.01G000761	0.355084	0.29154	0.352064
Glysoja.01G000762	0.346815	0.396932	0.925146
Glysoja.01G000763	0	0	0
Glysoja.01G000764	0	0.238841	0.216889
Glysoja.01G000765	0	0	0
Glysoja.01G000766	0.413262	0.231026	0.379281
Glysoja.01G000768	0.422249	0	0
Glysoja.01G000770	0	0	0
Glysoja.01G000771	0	0	0
Glysoja.01G000775	0.446333	0.456935	0
Glysoja.01G000776	0	0	0
Glysoja.01G000777	0	0	0
Glysoja.01G000779	0.281371	0.055157	0.036629
Glysoja.01G000783	0	0	0
Glysoja.01G000784	0	0	0
Glysoja.01G000785	0	0.182506	0.455408
Glysoja.01G000786	0	0	0
Glysoja.01G000788	0	0	0
Glysoja.01G000793	0.94023	0.608072	0.974654
Glysoja.01G000794	0	0	0
Glysoja.01G000795	0	0.054848	0
Glysoja.01G000798	0.376416	0.814842	0.307739
Glysoja.01G000799	0	0	0.199035
Glysoja.01G000802	0	0	0
Glysoja.01G000804	0	0	0
Glysoja.01G000805	0.734662	0.568096	0.507158
Glysoja.01G000806	0	0	0
Glysoja.01G000807	0	0	0
Glysoja.01G000808	0.251394	0	0.353394
Glysoja.01G000809	0.338183	0	0
Glysoja.01G000811	0	0	0
Glysoja.01G000813	0	0	0
Glysoja.01G000814	0	0	0
Glysoja.01G000815	0	0	0
Glysoja.01G000818	0	0	0
Glysoja.01G000820	0	0	0
Glysoja.01G000824	0	0	0
Glysoja.01G000825	0	0	0
Glysoja.01G000827	0	0	0
Glysoja.01G000828	0	0	0
Glysoja.01G000831	0	0	0
Glysoja.01G000835	0	0	0
Glysoja.01G000837	0	0	0
Glysoja.01G000840	0	0	0
Glysoja.01G000844	0	0	0
Glysoja.01G000848	0.586393	0.513666	0.755534
Glysoja.01G000849	0	0	0.138102
Glysoja.01G000852	0	0	0
Glysoja.01G000854	0	0	0
Glysoja.01G000856	0	0	0
Glysoja.01G000857	0	0	0
Glysoja.01G000858	0	0	0.058956
Glysoja.01G000859	0	0	0
Glysoja.01G000861	0	0	0
Glysoja.01G000862	0	0	0
Glysoja.01G000864	0	0	0
Glysoja.01G000866	0	0	0.190591
Glysoja.01G000867	0	0	0
Glysoja.01G000873	0	0	0
Glysoja.01G000875	0.162175	0	0.68953
Glysoja.01G000877	0.036489	0	0.206794
Glysoja.01G000878	0	0.398437	0
Glysoja.01G000879	0	0	0.721011
Glysoja.01G000880	0	0	0
Glysoja.01G000882	0	0	0
Glysoja.01G000884	0	0	0
Glysoja.01G000886	0	0	0
Glysoja.01G000887	0	0	0
Glysoja.01G000888	0	0.404421	0.198608
Glysoja.01G000889	0	0	0.108889
Glysoja.01G000890	0	0.247488	0.441995
Glysoja.01G000891	0	0	0
Glysoja.01G000892	0	0	0
Glysoja.01G000894	0	0	0
Glysoja.01G000895	0	0	0
Glysoja.01G000896	0	0	0
Glysoja.01G000900	0.215347	0.064111	0.479709
Glysoja.01G000902	0	0	0
Glysoja.01G000904	0.35339	0.255754	0.801007
Glysoja.01G000912	0	0	0
Glysoja.01G000913	0	0	0
Glysoja.01G000914	0	0	0
Glysoja.01G000915	0	0	0
Glysoja.01G000918	0.022237	0.023248	0.136866
Glysoja.01G000922	0	0	0
Glysoja.01G000923	0	0	0
Glysoja.01G000924	0	0	0
Glysoja.01G000925	0.863869	0.474711	1.263073
Glysoja.01G000927	0	0	0
Glysoja.01G000928	0	0	0.889775
Glysoja.01G000930	0	0	0
Glysoja.01G000931	0.140775	0.221294	0.292737
Glysoja.01G000932	0.588947	0.078447	0.419501
Glysoja.01G000934	0	0	0
Glysoja.01G000936	0	0	0
Glysoja.01G000938	0	0	0
Glysoja.01G000939	0	0	0
Glysoja.01G000940	0	0	0
Glysoja.01G000941	0	0	0
Glysoja.01G000942	0	0	0
Glysoja.01G000943	0	0.139178	0.579084
Glysoja.01G000944	0	0	0
Glysoja.01G000945	0	0	0
Glysoja.01G000946	0	0	0
Glysoja.01G000947	0	0	0
Glysoja.01G000948	0.373366	0.441281	0.132873
Glysoja.01G000950	0	0	0
Glysoja.01G000954	0	0	0
Glysoja.01G000955	0	0	0
Glysoja.01G000956	0	0	0
Glysoja.01G000957	0	0	0
Glysoja.01G000958	0.032564	0.059227	0.433881
Glysoja.01G000959	0	0	0
Glysoja.01G000961	0.028201	0	0
Glysoja.01G000965	0	0	0
Glysoja.01G000966	0	0.246317	0
Glysoja.01G000967	0	0	0
Glysoja.01G000971	0.34434	0.193097	0.614228
Glysoja.01G000972	0	0	0
Glysoja.01G000973	0	0	0
Glysoja.01G000975	0	0	0
Glysoja.01G000976	0	0	0
Glysoja.01G000977	0	0	0
Glysoja.01G000978	0	0	0
Glysoja.01G000979	0	0.223208	0.226111
Glysoja.01G000980	0	0	0
Glysoja.01G000984	0	0.075874	0
Glysoja.01G000986	0	0	0
Glysoja.01G000989	0	0.050526	0.071302
Glysoja.01G000991	0.214888	0.069931	0.26227
Glysoja.01G000992	0	0	0
Glysoja.01G000994	0	0	0
Glysoja.01G000995	0	0	0
Glysoja.01G000996	0.328788	0	0
Glysoja.01G000998	0	0	0
Glysoja.01G000999	0	0	0
Glysoja.01G001001	0	0	0
Glysoja.01G001003	0	0	0
Glysoja.01G001004	0	0	0
Glysoja.01G001006	0	0.273347	0.700587
Glysoja.01G001009	0	0	0
Glysoja.01G001018	0	0	0
Glysoja.01G001019	0	0.079779	0.31152
Glysoja.01G001022	0.564052	0.369692	0.574001
Glysoja.01G001023	0	0	0
Glysoja.01G001025	0	0	0
Glysoja.01G001026	0	0	0
Glysoja.01G001027	0	0	0
Glysoja.01G001028	0	0	0
Glysoja.01G001029	0.510851	0	0
Glysoja.01G001031	0	0	0
Glysoja.01G001032	0	0	0
Glysoja.01G001034	0.130868	0.218821	0
Glysoja.01G001037	0	0.136856	0.036065
Glysoja.01G001039	0	0	0
Glysoja.01G001042	0	0	0
Glysoja.01G001044	0.436254	0.402139	0.751947
Glysoja.01G001045	0	0	0
Glysoja.01G001047	0	0	0
Glysoja.01G001049	0	0	0
Glysoja.01G001050	0.04096	0	0
Glysoja.01G001051	0.088481	0.061396	0
Glysoja.01G001054	0.135104	0	0
Glysoja.01G001056	0	0	0
Glysoja.01G001057	0	0	0
Glysoja.01G001058	0	0	0
Glysoja.01G001060	0.355221	0	0.835005
Glysoja.01G001063	0	0	0
Glysoja.01G001064	0	0	0
Glysoja.01G001068	0	0	0
Glysoja.01G001069	0	0	0
Glysoja.01G001070	0	0	0
Glysoja.01G001071	0	0	0
Glysoja.01G001072	0.508824	0.044178	0.459577
Glysoja.01G001073	0	0	0
Glysoja.01G001074	0	0	0
Glysoja.01G001076	0	0.303159	0
Glysoja.01G001078	0	0.174112	0
Glysoja.01G001079	0	0	0
Glysoja.01G001080	0.071282	0.105753	0.672792
Glysoja.01G001084	0	0	0
Glysoja.01G001085	0.126205	0.261937	0.087297
Glysoja.01G001089	0	0	0
Glysoja.01G001090	0	0	0
Glysoja.01G001091	0	0	0
Glysoja.01G001092	0.786671	0.502107	0.939579
Glysoja.01G001094	0	0.300851	0
Glysoja.01G001098	0.237265	0.223961	0.280564
Glysoja.01G001100	0	0	0
Glysoja.01G001101	0.102665	0.006423	0.186821
Glysoja.01G001102	0	0	0
Glysoja.01G001104	0	0	0
Glysoja.01G001105	0	0	0
Glysoja.01G001106	0	0	0
Glysoja.01G001107	0.196179	0.182275	0.549579
Glysoja.01G001108	0	0	0
Glysoja.01G001111	0	0	0
Glysoja.01G001113	0	0	0
Glysoja.01G001114	0	0	0.223063
Glysoja.01G001115	0	0	0
Glysoja.01G001116	0	0	0
Glysoja.01G001117	0	0	0
Glysoja.01G001118	0	0	0
Glysoja.01G001120	0	0.035333	0
Glysoja.01G001121	0	0	0
Glysoja.01G001122	0	0	0
Glysoja.01G001123	0	0	0
Glysoja.01G001124	0	0	0
Glysoja.01G001128	0	0	0
Glysoja.01G001132	0.140883	0.131147	0.236531
Glysoja.01G001133	0	0	0
Glysoja.01G001134	0	0	0
Glysoja.01G001136	0.494177	0	0.507265
Glysoja.01G001137	0.296119	0.198987	0.702765
Glysoja.01G001139	0	0.115493	0.193029
Glysoja.01G001140	0	0	0
Glysoja.01G001144	0	0	0
Glysoja.01G001145	0.543174	0.229099	0
Glysoja.01G001147	0.39963	0.688396	0
Glysoja.01G001148	0	0	0
Glysoja.01G001149	0	0	0.423038
Glysoja.01G001151	0	0	0
Glysoja.01G001153	0	0	0
Glysoja.01G001154	0	0	0
Glysoja.01G001156	0.8372	0.13837	0
Glysoja.01G001157	0.009945	0	0
Glysoja.01G001158	0	0	0
Glysoja.01G001160	0	0	0
Glysoja.01G001161	0	0	0
Glysoja.01G001162	0	0	0
Glysoja.01G001164	0.045908	0.023945	0.023852
Glysoja.01G001165	0	0	0
Glysoja.01G001166	0	0.199599	0.814896
Glysoja.01G001169	0	0	0
Glysoja.01G001172	0	0	0
Glysoja.01G001175	0	0	0
Glysoja.01G001176	0.067327	0	0
Glysoja.01G001177	0	0	0
Glysoja.01G001178	0	0	0
Glysoja.01G001179	0	0	0
Glysoja.01G001180	0	0	0
Glysoja.01G001181	0	0	0
Glysoja.01G001182	0	0	0
Glysoja.01G001183	0	0	0
Glysoja.01G001184	0	0	0
Glysoja.01G001186	0	0	0
Glysoja.01G001187	0	0	0
Glysoja.01G001188	0.115021	0.061785	0.482518
Glysoja.01G001190	0	0	0
Glysoja.01G001193	0	0	0
Glysoja.01G001194	0	0	0.532771
Glysoja.01G001195	0	0	0
